Week,Day,Chu_de_trong_tam,Muc_tieu_kien_thuc,Bai_tap_thuc_hanh,Deliverable
1,1,"Làm quen repo & xác định mục tiêu","Đọc README-vi.md và docs/vi/phan-tich-cau-truc.md để hiểu cấu trúc và cách tận dụng repo; xác định khoảng cách kỹ năng cá nhân","Tạo bảng ghi chú cá nhân về các thư mục chính và mục tiêu học tập","Ghi chú onboarding liên kết đường dẫn tài nguyên"
1,2,"Hiểu tư duy DevOps","Tóm tắt định nghĩa DevOps, lợi ích và anti-pattern trong topics/devops/README.md; liên hệ thực tế quy trình BE hiện tại","Tự lập mindmap DevOps (People/Process/Tools) và liệt kê 3 cải tiến áp dụng cho dự án Java","Mindmap DevOps + danh sách cải tiến"
1,3,"Ôn Git căn bản","Ôn bảng câu hỏi Git basics và thực hành exercises commit/branch trong topics/git/README.md","Tạo repo sandbox mô phỏng workflow feature branch và thử git rebase","Checklist thao tác Git & screenshot log"
1,4,"Linux 101","Trả lời bộ câu hỏi Linux 101, Filesystem, Permissions trong topics/linux/README.md","Chạy lại các lệnh trong WSL/VM và ghi lại kết quả quan trọng","Sổ tay lệnh Linux (pdf/md)"
1,5,"Tổng kết tuần & đánh giá kỹ năng","Đối chiếu prepare_for_interview.md (mục Linux & Programming) để xác định lỗ hổng; lên kế hoạch script tự động deploy Java","Viết shell script start/stop service Java mẫu và review cùng mentor","Bảng đánh giá kỹ năng + script"
2,1,"Linux nâng cao & scripting","Đào sâu phần Exercises/Basics và Misc trong topics/linux/README.md","Viết script sao lưu log ứng dụng, luyện cron","Script backup + hướng dẫn chạy"
2,2,"Containers cơ bản","Đọc mục Containers 101, Docker Architecture trong topics/containers/README.md","Tạo Dockerfile đóng gói service Java + chạy bài tập running_containers","Dockerfile tối ưu và ghi chú size image"
2,3,"Docker troubleshooting","Giải bài exercises/docker/docker-debugging.md; thực hành docker-compose cho app Java + DB","Lưu lại nhật ký điều tra sự cố và thiết lập docker-compose.yml","Runbook debug Docker + compose file"
2,4,"CI/CD nền tảng","Học khái niệm CI, CD, best practices trong topics/cicd/README.md; thiết kế pipeline phù hợp dự án","Phác thảo pipeline GitHub Actions/Jenkins (build → test → image → deploy)","Sơ đồ pipeline + backlog công việc"
2,5,"Quản lý cấu hình với Ansible","Đọc Ansible components & Exercises (My First Playbook) trong topics/ansible/README.md","Viết playbook cài đặt môi trường runtime cho app Java","Playbook + inventory mẫu"
3,1,"Tổng quan AWS","Ôn dịch vụ IAM, EC2, S3, VPC trong topics/aws/README.md; xác định dịch vụ cần cho BE","Thiết kế sơ đồ hạ tầng dev/test trên AWS","Tài liệu kiến trúc AWS"
3,2,"Terraform 101","Học workflow init/plan/apply, state, modules trong topics/terraform/README.md","Thử exercise terraform_local_provider trên máy cá nhân","Repo Terraform local + ghi chú lệnh"
3,3,"IaC + Cloud practice","Mô phỏng 1 bài tập AWS bằng Terraform (ví dụ tạo VPC hoặc EC2)","Viết module Terraform tái sử dụng và chạy terraform plan","Kết quả plan + review code"
3,4,"CI/CD + IaC","Xác định bước tích hợp Terraform vào pipeline dựa trên best practices CI/CD","Tạo job pipeline thử nghiệm chạy terraform fmt/validate/plan","YAML pipeline + báo cáo test"
3,5,"Viết tài liệu nội bộ","Đúc kết quy trình IaC + Cloud, mapping với nhu cầu dự án Java","Viết tài liệu runbook triển khai hạ tầng & checklist bảo mật","Runbook IaC + checklist"
4,1,"Quan sát hệ thống","Học Datadog basics, agent, tags trong topics/datadog/README.md; thiết kế dashboard cho service","Xác định metrics/logs quan trọng & alert rules","Thiết kế dashboard + mô tả alert"
4,2,"Độ tin cậy & Chaos","Nghiên cứu chaos engineering workflow và toolset trong topics/chaos_engineering/README.md","Đề xuất kịch bản giả lập lỗi DB/timeouts cho BE Java","Kế hoạch chaos experiment"
4,3,"Tổng hợp pipeline end-to-end","Ôn lại DevOps, Containers, CI/CD để vẽ flow code → deploy → observability","Chuẩn bị slide thuyết trình kiến trúc DevOps cho team","Slide pipeline tổng quan"
4,4,"Mô phỏng sự cố","Chạy lại bài docker-debugging hoặc tự dựng sự cố hạ tầng; áp dụng quy trình điều tra & rollback","Ghi lại timeline incident, nguyên nhân gốc và hành động phòng ngừa","Postmortem template hoàn chỉnh"
4,5,"Đóng vòng phản hồi","Đối chiếu chuẩn kỹ năng trong prepare_for_interview.md; lập kế hoạch học nâng cao (Kubernetes, bảo mật)","Tạo backlog học tập 4 tuần tiếp theo và đặt mục tiêu chứng chỉ nếu cần","Bảng kế hoạch nâng cao"
